epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789670093	348.78	57	98	1710	0x0000000000000004	21176	51599852	8388604	5995564
1789670095	348.20	57	97	1725	0x0000000000000004	21176	51878424	8388604	6482004
1789670097	348.71	57	98	1710	0x0000000000000004	21176	51553836	8388604	6321796
1789670099	348.24	57	97	1695	0x0000000000000004	21176	51551820	8388604	6210796
1789670102	348.23	58	97	1710	0x0000000000000004	21176	51500584	8388604	6155252
1789670104	348.12	58	97	1695	0x0000000000000004	21176	51508444	8388604	6084524
1789670106	348.34	58	99	1710	0x0000000000000004	21176	51613836	8388604	5960080
1789670108	348.39	58	97	1710	0x0000000000000004	21176	51715552	8388604	6482008
1789670110	348.23	58	98	1695	0x0000000000000004	21176	51689556	8388604	6319348
1789670112	348.62	58	98	1710	0x0000000000000004	21176	51672628	8388604	6154804
1789670114	348.89	58	99	1695	0x0000000000000004	21176	51624120	8388604	6069660
1789670116	348.23	59	99	1710	0x0000000000000004	21176	52104800	8388604	6482008
1789670118	348.20	58	99	1695	0x0000000000000004	21176	51679676	8388604	6395896
1789670120	347.88	59	97	1665	0x0000000000000004	21176	51650188	8388604	6159252
1789670122	349.45	59	98	1695	0x0000000000000004	21176	51991528	8388604	6482008
1789670124	348.59	59	98	1695	0x0000000000000004	21176	51600340	8388604	6402784
1789670126	346.88	59	97	1695	0x0000000000000004	21176	51599892	8388604	6309076
1789670128	348.90	59	98	1710	0x0000000000000004	21176	51572480	8388604	6195780
1789670130	348.83	59	98	1695	0x0000000000000004	21176	51520492	8388604	6106332
1789670132	348.57	59	98	1695	0x0000000000000004	21176	51581448	8388604	5984176
1789670134	348.35	59	97	1695	0x0000000000000004	21176	51750328	8388604	6482008
1789670136	346.97	59	98	1830	0x0000000000000004	21176	51646352	8388604	6302404
1789670138	349.51	59	97	1695	0x0000000000000004	21176	51600828	8388604	6150148
1789670140	167.49	54	0	1965	0x0000000000000000	21176	51601028	8388604	6103012
1789670142	350.25	58	99	1695	0x0000000000000004	21176	51581256	8388604	6012864
1789670144	349.09	58	98	1695	0x0000000000000004	21176	51970984	8388604	6481988
1789670146	309.89	54	94	1965	0x0000000000000004	21176	51586476	8388604	6403716
1789670148	189.89	57	99	1695	0x0000000000000000	21176	51641292	8388604	6243832
1789670150	236.79	53	0	1875	0x0000000000000004	21176	51583256	8388604	6169184
1789670152	275.26	53	91	1965	0x0000000000000004	21176	51598612	8388604	6093868
1789670154	346.96	57	99	1680	0x0000000000000004	21176	51611784	8388604	6046760
1789670156	204.12	57	0	1695	0x0000000000000000	21176	51633244	8388604	5963016
1789670158	332.29	54	96	1965	0x0000000000000004	21176	51661024	8388604	6472404
1789670160	189.14	56	100	1890	0x0000000000000004	21176	51579036	8388604	6367584
1789670162	348.45	56	98	1710	0x0000000000000004	21176	51578188	8388604	6213832
1789670164	208.93	52	0	1980	0x0000000000000000	21176	51568640	8388604	6104020
1789670166	240.82	52	0	1980	0x0000000000000000	21176	51588876	8388604	5978616
1789670168	346.41	57	98	1695	0x0000000000000004	21176	51649264	8388604	6456244
1789670170	165.31	52	0	1980	0x0000000000000000	21176	51607532	8388604	6379068
1789670172	348.49	56	98	1725	0x0000000000000004	21176	51619820	8388604	6240256
1789670174	192.16	52	0	1935	0x0000000000000000	21176	51583348	8388604	6149032
1789670176	188.86	56	98	1710	0x0000000000000004	21176	51622564	8388604	6066892
1789670178	348.59	56	98	1710	0x0000000000000004	21176	51655868	8388604	5958320
1789670180	320.75	54	97	1980	0x0000000000000004	21176	51639168	8388604	6481988
1789670182	175.26	56	100	1710	0x0000000000000000	21176	51518496	8388604	6353940
1789670184	313.07	53	98	1980	0x0000000000000004	21176	51555992	8388604	6265108
1789670186	220.53	56	100	1710	0x0000000000000000	21176	51575580	8388604	6185996
1789670188	250.10	53	0	1980	0x0000000000000004	21176	51586652	8388604	6154672
1789670191	220.91	54	0	1785	0x0000000000000000	21176	51579132	8388604	6083016
1789670193	223.69	57	0	1710	0x0000000000000000	21176	51585468	8388604	6050660
1789670195	184.18	55	0	1755	0x0000000000000000	21176	51601716	8388604	5957820
1789670197	275.52	57	100	1710	0x0000000000000004	21196	51682664	8388604	6475552
1789670199	349.37	58	95	1710	0x0000000000000004	21196	51688288	8388604	6359904
1789670201	208.23	53	0	1845	0x0000000000000000	21196	51642456	8388604	6176884
1789670203	348.02	58	97	1695	0x0000000000000004	21196	51571572	8388604	6129008
1789670205	264.78	58	100	1875	0x0000000000000004	21196	51602188	8388604	6061272
1789670207	268.17	54	0	1965	0x0000000000000000	21196	52009504	8388604	6481992
1789670209	345.82	58	99	1695	0x0000000000000004	21196	51660356	8388604	6352492
1789670211	200.45	55	0	1965	0x0000000000000000	21196	51614368	8388604	6165256
1789670213	348.14	59	98	1725	0x0000000000000004	21196	51577848	8388604	6081724
1789670215	201.99	58	100	1695	0x0000000000000004	21196	51569036	8388604	6008416
1789670217	348.83	59	93	1845	0x0000000000000004	21196	51998660	8388604	6481996
1789670219	264.91	58	97	1695	0x0000000000000004	21196	51637972	8388604	6396380
1789670221	349.12	59	97	1695	0x0000000000000004	21196	51614672	8388604	6268700
1789670223	166.59	55	0	1965	0x0000000000000000	21196	51608492	8388604	6148820
1789670225	346.07	59	98	1665	0x0000000000000004	21196	51559772	8388604	6086380
1789670227	250.30	55	0	1965	0x0000000000000004	21196	51556288	8388604	6070012
1789670229	346.74	59	98	1680	0x0000000000000004	21196	51600088	8388604	6044892
1789670231	334.06	57	99	1905	0x0000000000000004	21196	51607124	8388604	6016508
1789670233	241.47	59	0	1830	0x0000000000000000	21196	52094408	8388604	6481996
1789670235	301.62	59	98	1515	0x0000000000000004	21196	51523592	8388604	6389500
1789670237	210.97	59	0	1875	0x0000000000000000	21196	51548092	8388604	6148456
1789670239	239.39	55	0	1965	0x0000000000000004	21196	51564900	8388604	5985244
1789670241	349.27	59	97	1710	0x0000000000000004	21196	51502304	8388604	6479280
1789670243	349.22	59	99	1695	0x0000000000000004	21196	51456860	8388604	6325592
1789670245	349.37	60	98	1680	0x0000000000000004	21196	51446424	8388604	6175796
1789670247	348.31	60	96	1665	0x0000000000000004	21196	51417932	8388604	6077840
1789670249	198.67	60	100	1860	0x0000000000000004	21196	51448268	8388604	6012616
1789670251	349.50	60	97	1680	0x0000000000000004	21196	51718960	8388604	6482000
1789670253	230.01	56	0	1875	0x0000000000000000	21196	51498624	8388604	6330308
1789670255	160.30	58	100	1695	0x0000000000000000	21196	51464776	8388604	6235156
1789670257	231.74	59	98	1710	0x0000000000000004	21196	51465264	8388604	6121696
1789670259	192.26	59	100	1680	0x0000000000000004	21196	51458500	8388604	6064392
1789670261	349.35	59	98	1695	0x0000000000000004	21196	51967460	8388604	6482000
1789670263	348.92	59	97	1680	0x0000000000000004	21196	51516356	8388604	6396616
1789670265	200.16	59	100	1845	0x0000000000000004	21196	51480832	8388604	6234668
1789670267	349.14	59	97	1695	0x0000000000000004	21196	51465328	8388604	6129320
1789670269	315.93	58	99	1665	0x0000000000000004	21196	51496980	8388604	6076748
1789670271	322.10	57	98	1965	0x0000000000000004	21196	51484728	8388604	6057124
1789670273	349.56	59	97	1710	0x0000000000000004	21196	51494500	8388604	6001360
1789670275	349.27	59	98	1695	0x0000000000000004	21196	51457736	8388604	6003376
1789670277	349.10	59	98	1710	0x0000000000000004	21196	52005604	8388604	6482000
1789670280	348.55	59	96	1680	0x0000000000000004	21196	51506384	8388604	6418540
1789670282	300.35	57	0	1965	0x0000000000000004	21196	51515452	8388604	6237464
1789670284	351.80	59	98	1695	0x0000000000000004	21196	51482452	8388604	6159428
1789670286	349.35	59	98	1680	0x0000000000000004	21196	51495100	8388604	6107176
1789670288	348.95	59	99	1695	0x0000000000000004	21196	51479432	8388604	6072732
1789670290	348.75	59	98	1695	0x0000000000000004	21196	51951296	8388604	6482000
1789670292	348.89	59	98	1695	0x0000000000000004	21196	51525188	8388604	6394756
1789670294	348.91	59	99	1680	0x0000000000000004	21196	51517880	8388604	6228704
1789670296	345.66	59	98	1695	0x0000000000000004	21196	51343264	8388604	6187584
1789670298	349.16	59	97	1710	0x0000000000000004	21196	51333120	8388604	6104384
1789670300	348.96	59	98	1695	0x0000000000000004	21196	51331208	8388604	6078476
1789670302	349.01	59	98	1695	0x0000000000000004	21196	51366160	8388604	5996264
1789670304	348.75	58	97	1695	0x0000000000000004	21196	51722432	8388604	6482000
1789670306	347.56	58	95	1695	0x0000000000000004	21196	51267760	8388604	6405440
1789670308	347.88	58	98	1740	0x0000000000000004	21196	51249884	8388604	6211976
1789670310	349.28	58	98	1710	0x0000000000000004	21196	51198460	8388604	6078824
1789670312	349.01	57	98	1695	0x0000000000000004	21196	51208540	8388604	6016780
1789670314	349.00	57	97	1695	0x0000000000000004	21196	51437508	8388604	6482004
1789670316	349.09	57	99	1695	0x0000000000000004	21196	51243020	8388604	6379532
1789670318	349.17	57	96	1710	0x0000000000000004	21196	51255028	8388604	6180952
1789670320	349.18	57	98	1695	0x0000000000000004	21196	51227968	8388604	6075548
1789670322	348.93	57	99	1680	0x0000000000000004	21196	51170136	8388604	5977008
1789670324	348.71	56	97	1695	0x0000000000000004	21196	51463072	8388604	6481996
1789670326	348.48	56	98	1710	0x0000000000000004	21196	51157540	8388604	6318648
1789670328	348.21	56	99	1710	0x0000000000000004	21196	51145400	8388604	6145932
1789670330	348.81	56	98	1695	0x0000000000000004	21196	51149356	8388604	6045332
1789670332	348.98	56	99	1695	0x0000000000000004	21196	51188480	8388604	5964284
1789670334	349.13	56	97	1710	0x0000000000000004	21196	51406432	8388604	6481996
1789670336	348.91	56	97	1710	0x0000000000000004	21196	51219944	8388604	6398252
1789670338	348.66	55	98	1680	0x0000000000000004	21196	51187760	8388604	6233240
1789670340	348.07	55	98	1710	0x0000000000000004	21196	51159572	8388604	6114784
1789670342	349.56	55	98	1710	0x0000000000000004	21196	51209852	8388604	6017192
1789670344	349.05	55	98	1695	0x0000000000000004	21196	51166240	8388604	5966104
1789670346	349.15	55	98	1710	0x0000000000000004	21196	51704748	8388604	6481996
1789670348	348.56	55	97	1710	0x0000000000000004	21196	51245896	8388604	6424840
1789670350	348.82	55	97	1680	0x0000000000000004	21196	51199756	8388604	6196252
1789670352	348.37	54	98	1665	0x0000000000000004	21196	51056212	8388604	6128148
1789670354	349.55	55	98	1695	0x0000000000000004	21196	51008172	8388604	6042400
1789670356	348.91	55	99	1695	0x0000000000000004	21196	51021240	8388604	5957720
1789670358	348.57	54	98	1695	0x0000000000000004	21196	51144244	8388604	6481980
1789670360	348.17	54	98	1680	0x0000000000000004	21196	51009632	8388604	6366412
1789670362	348.76	54	98	1725	0x0000000000000004	21196	50849612	8388604	6237284
1789670365	348.38	54	98	1680	0x0000000000000004	21196	50812392	8388604	6118696
1789670367	349.18	54	99	1680	0x0000000000000004	21196	50849120	8388604	6010244
1789670369	348.78	54	97	1710	0x0000000000000004	21196	50975052	8388604	6481984
1789670371	348.79	54	98	1695	0x0000000000000004	21196	51029556	8388604	6299500
1789670373	347.90	54	98	1710	0x0000000000000004	21196	50938224	8388604	6119324
1789670375	348.52	54	98	1710	0x0000000000000004	21196	50915924	8388604	6017760
1789670377	349.08	54	98	1695	0x0000000000000004	21196	51292428	8388604	6481984
1789670379	348.66	54	94	1710	0x0000000000000004	21196	50891308	8388604	6353792
1789670381	349.12	54	96	1695	0x0000000000000004	21196	50891724	8388604	6126136
1789670383	349.19	53	98	1695	0x0000000000000004	21196	51338740	8388604	6481984
1789670385	348.29	53	97	1755	0x0000000000000004	21196	50795648	8388604	6362668
1789670387	348.02	53	98	1710	0x0000000000000004	21196	50729252	8388604	5980380
1789670389	348.07	53	98	1710	0x0000000000000004	21196	51077372	8388604	6481984
1789670391	348.62	53	97	1710	0x0000000000000004	21196	50754692	8388604	6461328
1789670393	343.89	53	69	1710	0x0000000000000004	21196	50588200	8388604	6163048
1789670395	348.17	53	98	1725	0x0000000000000004	21196	50521912	8388604	6116156
1789670397	347.71	53	99	1725	0x0000000000000004	21196	50553472	8388604	6075444
1789670399	348.89	53	99	1710	0x0000000000000004	21196	50538696	8388604	5965808
1789670401	348.50	53	99	1695	0x0000000000000004	21196	51057948	8388604	6481984
1789670403	348.13	53	98	1710	0x0000000000000004	21196	50947976	8388604	6481984
1789670405	348.64	53	99	1725	0x0000000000000004	21196	50546656	8388604	6341120
1789670407	348.92	53	99	1710	0x0000000000000004	21196	50502844	8388604	6167264
1789670409	348.42	53	96	1710	0x0000000000000004	21196	50514804	8388604	5967660
1789670411	348.81	53	99	1710	0x0000000000000004	21196	50941308	8388604	6481984
1789670413	348.83	53	99	1710	0x0000000000000004	21196	51003280	8388604	6481984
1789670415	348.34	53	98	1710	0x0000000000000004	21196	51029584	8388604	6481984
1789670417	348.92	53	98	1710	0x0000000000000004	21196	50574552	8388604	6481984
1789670419	348.49	53	89	1710	0x0000000000000004	21196	50537948	8388604	5961224
1789670421	348.23	53	99	1695	0x0000000000000004	21196	50976928	8388604	6481984
1789670423	347.98	53	99	1710	0x0000000000000004	21196	51009108	8388604	6481984
1789670425	348.79	53	99	1710	0x0000000000000004	21196	51018572	8388604	6481984
