epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789560396	339.53	63	100	1605	0x0000000000000004	23292	44612136	8388604	8378476
1789560398	334.97	63	100	1890	0x0000000000000004	23292	44609904	8388604	8378476
1789560400	332.53	64	100	1620	0x0000000000000004	23292	44631992	8388604	8378476
1789560402	335.96	63	100	1890	0x0000000000000004	23292	44662456	8388604	8378476
1789560404	337.34	63	100	1710	0x0000000000000004	23292	44666588	8388604	8378476
1789560406	336.31	63	100	1875	0x0000000000000004	23292	44661564	8388604	8378476
1789560409	334.97	64	100	1590	0x0000000000000004	23292	44520588	8388604	8378476
1789560411	336.98	63	100	1860	0x0000000000000004	23292	44601536	8388604	8378476
1789560413	334.54	63	100	1875	0x0000000000000004	23292	44564340	8388604	8378476
1789560415	333.38	64	100	1605	0x0000000000000004	23292	44121760	8388604	7998476
1789560417	337.33	64	100	1800	0x0000000000000004	23292	44293292	8388604	8378476
1789560419	337.53	63	100	1890	0x0000000000000004	23292	44339008	8388604	8378476
1789560421	335.85	64	100	1890	0x0000000000000004	23292	44386360	8388604	8378476
1789560423	332.17	64	100	1755	0x0000000000000004	23292	44230984	8388604	8378476
1789560425	332.88	64	100	1590	0x0000000000000004	23292	44210632	8388604	8378476
1789560427	339.46	65	100	1575	0x0000000000000004	23292	44256748	8388604	8378476
1789560429	338.46	64	100	1605	0x0000000000000004	23292	44307372	8388604	8378476
1789560431	338.14	64	100	1590	0x0000000000000004	23292	44331572	8388604	8378476
1789560433	336.28	64	100	1590	0x0000000000000004	23292	44370596	8388604	8378476
1789560435	331.77	65	100	1590	0x0000000000000004	23292	44401300	8388604	8378476
1789560437	338.10	64	100	1605	0x0000000000000004	23292	44520908	8388604	8378476
1789560439	331.35	65	100	1845	0x0000000000000004	23292	44524684	8388604	8378476
1789560441	333.83	64	100	1875	0x0000000000000004	23292	44549616	8388604	8378476
1789560443	336.74	63	100	1875	0x0000000000000004	23292	44473144	8388604	8378476
1789560445	336.30	65	100	1725	0x0000000000000004	23292	44400300	8388604	8378476
1789560447	339.17	65	100	1575	0x0000000000000004	23292	44401576	8388604	8378476
1789560449	332.64	64	100	1875	0x0000000000000004	23292	44400160	8388604	8378476
1789560451	337.92	63	100	1845	0x0000000000000004	23292	44369912	8388604	8378476
1789560453	333.45	65	100	1590	0x0000000000000004	23292	44418296	8388604	8378476
1789560455	332.21	64	100	1875	0x0000000000000004	23292	44428288	8388604	8378476
1789560457	336.62	63	100	1815	0x0000000000000004	23292	44455552	8388604	8378476
1789560459	334.42	65	100	1575	0x0000000000000004	23292	44481884	8388604	8378476
1789560461	336.80	63	100	1875	0x0000000000000004	23292	44501148	8388604	8378476
1789560463	342.98	65	100	1590	0x0000000000000004	23292	44345856	8388604	8378476
1789560465	331.97	64	100	1875	0x0000000000000004	23292	44534904	8388604	8378476
1789560467	342.15	65	100	1590	0x0000000000000004	23292	44533008	8388604	8378476
1789560469	335.40	64	100	1875	0x0000000000000004	23292	44477776	8388604	8378476
1789560471	334.87	64	100	1590	0x0000000000000004	23292	44466712	8388604	8378476
1789560473	333.02	65	100	1830	0x0000000000000004	23292	44525680	8388604	8378476
1789560475	335.31	65	100	1875	0x0000000000000004	23292	44529892	8388604	8378476
1789560477	341.67	65	100	1590	0x0000000000000004	23292	44160336	8388604	8378472
1789560479	337.33	63	100	1860	0x0000000000000004	23292	43965172	8388604	7949780
1789560481	336.68	64	100	1875	0x0000000000000004	23292	44057096	8388604	8378472
1789560483	342.79	65	95	1590	0x0000000000000004	23292	44074004	8388604	8378472
1789560485	339.83	63	100	1815	0x0000000000000004	23292	44046572	8388604	8378472
1789560487	332.88	64	100	1875	0x0000000000000004	23292	44063148	8388604	8378472
1789560489	338.02	64	100	1890	0x0000000000000004	23292	44045032	8388604	8378472
1789560491	341.63	65	100	1590	0x0000000000000004	23292	44234632	8388604	8378472
1789560493	342.38	64	100	1695	0x0000000000000004	23292	44234456	8388604	8378472
1789560495	339.75	63	100	1830	0x0000000000000004	23292	44287884	8388604	8378472
1789560497	334.88	64	100	1875	0x0000000000000004	23292	44350636	8388604	8378472
1789560499	335.45	63	100	1875	0x0000000000000004	23292	44365340	8388604	8378472
1789560502	337.69	64	100	1875	0x0000000000000004	23292	44418372	8388604	8378472
1789560504	337.48	65	100	1875	0x0000000000000004	23292	44333760	8388604	8378472
1789560506	337.15	65	100	1875	0x0000000000000004	23292	44485948	8388604	8378472
1789560508	339.97	65	100	1890	0x0000000000000004	23292	44537224	8388604	8378472
1789560510	337.79	64	100	1890	0x0000000000000004	23292	44459572	8388604	8378472
1789560512	336.62	65	100	1875	0x0000000000000004	23292	44496880	8388604	8378472
1789560514	338.09	65	100	1875	0x0000000000000004	23292	44508652	8388604	8378472
1789560516	338.92	64	100	1890	0x0000000000000004	23292	44537456	8388604	8378472
1789560518	338.42	64	100	1875	0x0000000000000004	23292	44330432	8388604	8378472
1789560520	336.53	64	100	1875	0x0000000000000004	23292	44536648	8388604	8378472
1789560522	332.44	64	100	1875	0x0000000000000004	23292	44525620	8388604	8378472
1789560524	339.05	64	100	1830	0x0000000000000004	23292	44422728	8388604	8378472
1789560526	331.33	63	100	1605	0x0000000000000004	23292	44213404	8388604	8378472
1789560528	338.06	66	100	1755	0x0000000000000004	23292	44251888	8388604	8378472
1789560530	337.21	65	100	1875	0x0000000000000004	23292	44233140	8388604	8378472
1789560532	335.85	64	100	1875	0x0000000000000004	23292	44178004	8388604	8378472
1789560534	335.18	65	100	1785	0x0000000000000004	23292	44209376	8388604	8378472
1789560536	340.13	65	100	1605	0x0000000000000004	23292	44225256	8388604	8378472
1789560538	338.27	65	100	1875	0x0000000000000004	23292	44066196	8388604	8378472
1789560540	336.11	64	100	1875	0x0000000000000004	23292	44168724	8388604	8378472
1789560542	339.35	65	100	1740	0x0000000000000004	23292	43740288	8388604	8043560
1789560544	341.48	65	100	1740	0x0000000000000004	23292	43957612	8388604	8378472
1789560546	338.05	64	100	1875	0x0000000000000004	23292	43969336	8388604	8378472
1789560548	337.74	64	100	1725	0x0000000000000004	23292	43972224	8388604	8378472
1789560550	339.51	65	100	1740	0x0000000000000004	23292	44010544	8388604	8378472
1789560552	338.16	64	100	1875	0x0000000000000004	23292	43990492	8388604	8378472
1789560554	338.39	64	100	1590	0x0000000000000004	23292	44116728	8388604	8378472
1789560556	339.17	65	100	1875	0x0000000000000004	23292	44139944	8388604	8378472
1789560558	337.28	64	100	1800	0x0000000000000004	23292	44009660	8388604	8378472
1789560560	338.80	65	100	1875	0x0000000000000004	23292	44116368	8388604	8378472
1789560562	337.94	64	100	1845	0x0000000000000004	23292	44153976	8388604	8378472
1789560564	337.91	66	100	1890	0x0000000000000004	23292	44190252	8388604	8378472
1789560566	339.14	64	100	1875	0x0000000000000004	23292	44366316	8388604	8378472
1789560568	338.28	65	100	1680	0x0000000000000004	23292	44377924	8388604	8378472
1789560570	338.65	64	100	1860	0x0000000000000004	23292	44410384	8388604	8378472
1789560572	339.28	65	100	1890	0x0000000000000004	23292	44361868	8388604	8378472
1789560574	339.61	64	100	1815	0x0000000000000004	23292	44363392	8388604	8378472
1789560576	338.95	65	100	1875	0x0000000000000004	23292	44376544	8388604	8378472
1789560578	338.33	65	100	1590	0x0000000000000004	23292	44118336	8388604	8378472
1789560580	337.43	64	100	1875	0x0000000000000004	23292	44306656	8388604	8378472
1789560582	335.18	65	100	1875	0x0000000000000004	23292	44339332	8388604	8378472
1789560584	340.58	64	100	1845	0x0000000000000004	23292	44263960	8388604	8378472
1789560586	339.15	65	100	1875	0x0000000000000004	23292	44351524	8388604	8378472
1789560588	337.57	65	100	1590	0x0000000000000004	23292	44355200	8388604	8378472
1789560590	339.04	64	100	1830	0x0000000000000004	23292	44402020	8388604	8378472
1789560593	337.31	65	100	1875	0x0000000000000004	23292	44271912	8388604	8378472
1789560595	340.04	65	100	1845	0x0000000000000004	23292	44300672	8388604	8378472
1789560597	340.18	65	100	1695	0x0000000000000004	23292	44318796	8388604	8378472
